PORTFOLIO HOLDINGS INFORMATION,,,,
AS OF 4/1/2021,,,,
,,,,
Fund Ticker, Fund Name, Security Ticker, Security Sedol, Security Description, Coupon, Maturity Date, Shares/Contracts, Exposure Value (Notional + G/L), Market Value
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","NUE","2651086","NUCOR CORP",,,2044193,,163290136.84,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","PBCT","B1W41J2","PEOPLE'S UNITED FINANCIAL",,,7975870,,144363247,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","CAT","2180201","CATERPILLAR INC",,,583417,,135784472.58,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","XOM","2326618","EXXON MOBIL CORP",,,2360980,,135496642.2,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","CINF","2196888","CINCINNATI FINANCIAL CORP",,,1282417,,133550906.38,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","GD","2365161","GENERAL DYNAMICS CORP",,,733002,,132548751.66,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","AOS","2816023","SMITH (A.O.) CORP",,,1938432,,131561379.84,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","FRT","2333931","FEDERAL REALTY INVS TRUST",,,1264898,,131486147.1,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","ADP","2065308","AUTOMATIC DATA PROCESSING",,,691327,,130937333.8,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","EXPD","2325507","EXPEDITORS INTL WASH INC",,,1194214,,129882714.64,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","WBA","BTN1Y44","WALGREENS BOOTS ALLIANCE INC",,,2359978,,129208795.5,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","CVX","2838555","CHEVRON CORP",,,1220768,,129096216,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","SPGI","BYV2325","S&P GLOBAL INC",,,355335,,128862237.75,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","GPC","2367480","GENUINE PARTS CO",,,1101743,,128485268.66,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","SWK","B3Q2FJ4","STANLEY BLACK & DECKER INC",,,639121,,128246019.86,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","MMM","2595708","3M CO",,,662447,,127653536.9,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","BEN","2350684","FRANKLIN RESOURCES INC",,,4230495,,127591729.2,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","ESS","2316619","ESSEX PROPERTY TRUST INC",,,459975,,127178487.75,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","IBM","2005973","INTL BUSINESS MACHINES CORP",,,944109,,125783642.07,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","LIN","BZ12WP8","LINDE PLC",,,445294,,125056366.96,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","TROW","2702337","T ROWE PRICE GROUP INC",,,716856,,124704269.76,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","LOW","2536763","LOWE'S COS INC",,,649543,,124270566.76,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","AFL","2026361","AFLAC INC",,,2411824,,124015990.08,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","ATO","2315359","ATMOS ENERGY CORP",,,1256941,,123481883.84,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","PPG","2698470","PPG INDUSTRIES INC",,,812523,,123470995.08,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","DOV","2278407","DOVER CORP",,,893558,,123248454.94,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","CAH","2175672","CARDINAL HEALTH INC",,,2021697,,123080913.36,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","ADM","2047317","ARCHER-DANIELS-MIDLAND CO",,,2120057,,122221286.05,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","ITW","2457552","ILLINOIS TOOL WORKS",,,550381,,121843345.78,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","O","2724193","REALTY INCOME CORP",,,1871346,,121843338.06,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","KO","2206657","COCA-COLA CO/THE",,,2309363,,121264651.13,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","EMR","2313405","EMERSON ELECTRIC CO",,,1337414,,120915599.74,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","ED","2216850","CONSOLIDATED EDISON INC",,,1626931,,120864703.99,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","PNR","BLS09M3","PENTAIR PLC",,,1931379,,120498735.81,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","CTAS","2197137","CINTAS CORP",,,345105,,120203522.55,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","MCD","2550707","MCDONALD'S CORP",,,524801,,118190433.21,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","ABT","2002305","ABBOTT LABORATORIES",,,992388,,118034628.72,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","T","2831811","AT&T INC",,,3870760,,117942057.2,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","AMCR","BJ1F307","AMCOR PLC",,,10097492,,117736756.72,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","LEG","2510682","LEGGETT & PLATT INC",,,2534093,,117708619.85,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","HRL","2437264","HORMEL FOODS CORP",,,2465998,,117381504.8,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","TGT","2259101","TARGET CORP",,,583506,,117121324.32,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","CB","B3BQMF6","CHUBB LTD",,,734151,,116722667.49,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","SYY","2868165","SYSCO CORP",,,1489496,,116165793.04,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","KMB","2491839","KIMBERLY-CLARK CORP",,,847002,,116022333.96,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","PG","2704407","PROCTER & GAMBLE CO/THE",,,861396,,115668254.88,
